describle,movie_name,movie_num,star,value
希望让人自由。,肖申克的救赎,1,9.7,1554769人评价
风华绝代。,霸王别姬,2,9.6,1149628人评价
怪蜀黍和小萝莉不得不说的故事。,这个杀手不太冷,3,9.4,1402866人评价
一部美国近现代史。,阿甘正传,4,9.5,1211640人评价
最美的谎言。,美丽人生,5,9.5,709715人评价
失去的才是永恒的。 ,泰坦尼克号,6,9.4,1153608人评价
最好的宫崎骏，最好的久石让。 ,千与千寻,7,9.3,1245298人评价
拯救一个人，就是拯救整个世界。,辛德勒的名单,8,9.5,629276人评价
诺兰给了我们一场无法盗取的梦。,盗梦空间,9,9.3,1199697人评价
永远都不能忘记你所爱的人。,忠犬八公的故事,10,9.3,803263人评价
小瓦力，大人生。,机器人总动员,11,9.3,795497人评价
英俊版憨豆，高情商版谢耳朵。,三傻大闹宝莱坞,12,9.2,1085516人评价
天籁一般的童声，是最接近上帝的存在。 ,放牛班的春天,13,9.3,755326人评价
每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,海上钢琴师,14,9.2,879494人评价
如果再也不能见到你，祝你早安，午安，晚安。,楚门的世界,15,9.2,840497人评价
一生所爱。,大话西游之大圣娶亲,16,9.2,843488人评价
爱是一种力量，让我们超越时空感知它的存在。,星际穿越,17,9.3,863083人评价
人人心中都有个龙猫，童年就永远不会消失。,龙猫,18,9.2,745377人评价
我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,熔炉,19,9.3,498551人评价
千万不要记恨你的对手，这样会让你失去理智。,教父,20,9.3,541042人评价
香港电影史上永不过时的杰作。,无间道,21,9.2,693185人评价
迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,疯狂动物城,22,9.2,972848人评价
平民励志片。 ,当幸福来敲门,23,9.1,878903人评价
真正的幸福是来自内心深处。,怦然心动,24,9.0,981697人评价
满满温情的高雅喜剧。,触不可及,25,9.2,573629人评价
无尽的黑暗。,蝙蝠侠：黑暗骑士,26,9.1,566624人评价
Tomorrow is another day.,乱世佳人,27,9.3,397049人评价
张艺谋最好的电影。,活着,28,9.2,448054人评价
比利·怀德满分作品。,控方证人,29,9.6,202582人评价
瑰丽壮观、无人能及的冒险之旅。,少年派的奇幻漂流,30,9.0,860387人评价
史诗的终章。,指环王3：王者无敌,31,9.2,435172人评价
你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,摔跤吧！爸爸,32,9.0,858152人评价
对天空的追逐，永不停止。 ,天空之城,33,9.1,510562人评价
对敌人的仁慈，就是对自己残忍。,鬼子来了,34,9.2,363978人评价
1957年的理想主义。 ,十二怒汉,35,9.4,259025人评价
那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,天堂电影院,36,9.2,418794人评价
最后那些最无聊的事情，才是最值得怀念的。 ,飞屋环游记,37,9.0,780271人评价
旷古烁今。,大话西游之月光宝盒,38,9.0,681503人评价
带着心爱的人在天空飞翔。,哈尔的移动城堡,39,9.0,574135人评价
爱情哪怕只有一天。,罗马假日,40,9.0,580678人评价
邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,搏击俱乐部,41,9.0,546092人评价
“不要跟我比惨，我比你更惨”再适合这部电影不过了。,末代皇帝,42,9.2,359171人评价
死亡不是真的逝去，遗忘才是永恒的消亡。,寻梦环游记,43,9.0,819682人评价
史上最美的探戈。,闻香识女人,44,9.0,496989人评价
电影的现实意义大过电影本身。,辩护人,45,9.2,344876人评价
